Item ID,Title,Entity,Studio,Total,PPM,Rental,Download,Stream for Life,Scenes,Unlimited
4709603,I Want Em Young,"All Media Group, LLC",G.O.O.D. Porn Productions,$3.11,$0.00,$0.00,$0.00,$0.00,$2.47,$0.64
4644873,I'm So Horny,"All Media Group, LLC",G.O.O.D. Porn Productions,$0.05,$0.00,$0.00,$0.00,$0.00,$0.00,$0.05
4517556,Insatiable Sweet Whores,"All Media Group, LLC",G.O.O.D. Porn Productions,$2.53,$0.00,$0.00,$0.00,$0.00,$1.94,$0.58
3548435,Irresistible Teens,"All Media Group, LLC",G.O.O.D. Porn Productions,$0.77,$0.00,$0.00,$0.00,$0.00,$0.75,$0.02
4520445,It's Fuckin' Anal,"All Media Group, LLC",G.O.O.D. Porn Productions,$1.13,$0.11,$0.00,$0.00,$0.00,$0.97,$0.05
4829528,Juicy Massage Room,"All Media Group, LLC",G.O.O.D. Porn Productions,$1.80,$0.00,$0.00,$0.00,$0.00,$1.50,$0.30
4847528,My First DP,"All Media Group, LLC",G.O.O.D. Porn Productions,$9.00,$0.21,$0.00,$0.00,$0.00,$6.62,$2.16
4738937,My First Threesome,"All Media Group, LLC",G.O.O.D. Porn Productions,$2.37,$0.14,$1.80,$0.00,$0.00,$0.00,$0.43
4829547,My First Threesome 2,"All Media Group, LLC",G.O.O.D. Porn Productions,$0.06,$0.00,$0.00,$0.00,$0.00,$0.00,$0.06
4664472,My Sweet Cherries,"All Media Group, LLC",G.O.O.D. Porn Productions,$0.30,$0.00,$0.00,$0.00,$0.00,$0.00,$0.30
4756494,Perfectly Dirty Blondes Edition,"All Media Group, LLC",G.O.O.D. Porn Productions,$2.61,$0.04,$0.00,$0.00,$0.00,$2.39,$0.18
4515764,Please Take My Ass,"All Media Group, LLC",G.O.O.D. Porn Productions,$3.27,$0.07,$0.00,$0.00,$0.00,$2.29,$0.91
4640938,Red Devils,"All Media Group, LLC",G.O.O.D. Porn Productions,$1.79,$0.07,$0.00,$0.00,$0.00,$1.64,$0.08
4796422,Red Hair Peach Pussy,"All Media Group, LLC",G.O.O.D. Porn Productions,$1.24,$0.04,$0.00,$0.00,$0.00,$1.05,$0.16
4590351,Small Tit Love,"All Media Group, LLC",G.O.O.D. Porn Productions,$2.61,$0.00,$0.00,$0.00,$0.00,$2.47,$0.14
4524458,Students Sexperimenting,"All Media Group, LLC",G.O.O.D. Porn Productions,$6.60,$0.21,$0.00,$3.00,$1.57,$1.65,$0.17
2643513,Suck It Like You Mean It,"All Media Group, LLC",G.O.O.D. Porn Productions,$0.02,$0.00,$0.00,$0.00,$0.00,$0.00,$0.02
4709612,Sweet Redheads,"All Media Group, LLC",G.O.O.D. Porn Productions,$0.09,$0.00,$0.00,$0.00,$0.00,$0.00,$0.09
4710268,Sweet Sexy Teens,"All Media Group, LLC",G.O.O.D. Porn Productions,$6.01,$0.04,$0.00,$0.00,$1.50,$4.26,$0.21
4625312,Sweeties Need a Dick,"All Media Group, LLC",G.O.O.D. Porn Productions,$2.32,$0.14,$0.00,$0.00,$0.00,$1.79,$0.38
3242798,Taste My Teen Cherry,"All Media Group, LLC",G.O.O.D. Porn Productions,$2.21,$0.00,$0.00,$0.00,$0.00,$2.02,$0.19
4570359,Teen Anal Perfection,"All Media Group, LLC",G.O.O.D. Porn Productions,$3.86,$0.11,$0.00,$3.00,$0.00,$0.00,$0.75
4805282,Teen Anal Sexperts,"All Media Group, LLC",G.O.O.D. Porn Productions,$1.58,$0.31,$0.00,$0.00,$0.00,$0.90,$0.37
3293146,Teen Love Sex Addicts,"All Media Group, LLC",G.O.O.D. Porn Productions,$1.43,$0.00,$0.00,$0.00,$0.00,$0.90,$0.53
4664890,Teen Supreme,"All Media Group, LLC",G.O.O.D. Porn Productions,$5.27,$0.70,$0.00,$0.00,$0.00,$4.19,$0.38
4524607,Teenie Massage Rooms,"All Media Group, LLC",G.O.O.D. Porn Productions,$0.92,$0.04,$0.00,$0.00,$0.00,$0.84,$0.04
4805371,Teeny Cocksuckers & Fuckers,"All Media Group, LLC",G.O.O.D. Porn Productions,$0.33,$0.24,$0.00,$0.00,$0.00,$0.00,$0.08
4738954,"Teeny, Tiny, Asses","All Media Group, LLC",G.O.O.D. Porn Productions,$0.14,$0.07,$0.00,$0.00,$0.00,$0.00,$0.07
4640927,Threesomes Dreams,"All Media Group, LLC",G.O.O.D. Porn Productions,$0.31,$0.04,$0.00,$0.00,$0.00,$0.00,$0.28
3243815,Tight & Tiny Fuck Toys,"All Media Group, LLC",G.O.O.D. Porn Productions,$0.14,$0.04,$0.00,$0.00,$0.00,$0.00,$0.10
3215109,Tight Teen Tushies,"All Media Group, LLC",G.O.O.D. Porn Productions,$3.83,$0.04,$0.00,$0.00,$0.00,$3.78,$0.02
3548419,Tiny Pussy Massage,"All Media Group, LLC",G.O.O.D. Porn Productions,$0.95,$0.11,$0.00,$0.00,$0.00,$0.75,$0.09
3293632,Tiny Tits Tight Pussy,"All Media Group, LLC",G.O.O.D. Porn Productions,$1.44,$0.17,$0.00,$0.00,$0.00,$0.90,$0.37
4524439,Two To Fuck,"All Media Group, LLC",G.O.O.D. Porn Productions,$1.53,$0.00,$0.00,$0.00,$0.00,$0.82,$0.71
2643531,Watch Me Bang My Girl,"All Media Group, LLC",G.O.O.D. Porn Productions,$0.80,$0.00,$0.00,$0.00,$0.00,$0.75,$0.05
4569828,Young Pussy Paradise,"All Media Group, LLC",G.O.O.D. Porn Productions,$0.88,$0.00,$0.00,$0.00,$0.00,$0.75,$0.13
2643510,Your Wife Is Hot and I Want to Fuck Her,"All Media Group, LLC",G.O.O.D. Porn Productions,$4.74,$0.04,$0.00,$3.00,$0.00,$1.65,$0.06
4894103,Interracial Trans Roommates,"All Media Group, LLC",Hot Hot Films,$20.58,$4.21,$0.90,$10.14,$1.50,$3.51,$0.32
4894088,Trans Threeways,"All Media Group, LLC",Hot Hot Films,$30.43,$12.32,$1.08,$7.80,$4.05,$5.16,$0.03
4764000,Aisa Tamano Ninjya and Black Big Cock threesome Creampie,"All Media Group, LLC",JapornXXX,$3.77,$0.17,$0.00,$3.60,$0.00,$0.00,$0.00
4763994,"Alexis Crystal & Kyoko Makise Foursome Party of Doctors, Patients and Beautiful Nurse's","All Media Group, LLC",JapornXXX,$3.63,$0.04,$0.00,$3.60,$0.00,$0.00,$0.00
4763991,Alexis Crystal Double Penetration after Japanese Onsen,"All Media Group, LLC",JapornXXX,$13.08,$0.49,$0.00,$12.59,$0.00,$0.00,$0.00
