Title,Label,Owner,Total Sales,Total Sale net vat,Payout percentage, Payout ,35%,,,,,,,,,,,,,,,,,,
DP'ed at 60!,Porn Mega Load,All Media Group,1,€ 1.07,2500%, € 0.27 , € 0.09 ,,,,,,,,,,,,,,,,,,
Older Whores 2,Pure Pleasures,All Media Group,3,€ 11.71,2500%, € 2.93 , € 1.03 ,,,,,,,,,,,,,,,,,,
Moms Get That Dick #2,Pure Pleasures,All Media Group,1,€ 2.12,2500%, € 0.53 , € 0.19 ,,,,,,,,,,,,,,,,,,
Bit Tit Trans Latinas 4,Pure TS,All Media Group,3,€ 4.62,2500%, € 1.15 , € 0.40 ,,,,,,,,,,,,,,,,,,
My Transexual Lover 3,Pure TS,All Media Group,1,€ 1.07,2500%, € 0.27 , € 0.09 ,,,,,,,,,,,,,,,,,,
Hijab Hookups 4,Team Skeet,All Media Group,2,€ 3.56,2500%, € 0.89 , € 0.31 ,,,,,,,,,,,,,,,,,,
Interracial Surrender 20,Team Skeet,All Media Group,1,€ 13.49,2500%, € 3.37 , € 1.18 ,,,,,,,,,,,,,,,,,,
Forbidden Family Affairs Vol. 16,Team Skeet,All Media Group,1,€ 13.49,2500%, € 3.37 , € 1.18 ,,,,,,,,,,,,,,,,,,
Forbidden Family Affairs 20,Team Skeet,All Media Group,1,€ 13.49,2500%, € 3.37 , € 1.18 ,,,,,,,,,,,,,,,,,,
Forbidden Family Affairs 19,Team Skeet,All Media Group,1,€ 13.49,2500%, € 3.37 , € 1.18 ,,,,,,,,,,,,,,,,,,
Teens love anal 15,Team Skeet,All Media Group,1,€ 6.74,2500%, € 1.69 , € 0.59 ,,,,,,,,,,,,,,,,,,
Spring Break Fuck Parties Vol.17,Team Skeet,All Media Group,1,€ 13.49,2500%, € 3.37 , € 1.18 ,,,,,,,,,,,,,,,,,,
Little chicks with tiny tits 12,Team Skeet,All Media Group,1,€ 1.07,2500%, € 0.27 , € 0.09 ,,,,,,,,,,,,,,,,,,
Big Tit Wives Creampied 3,Vision Films,All Media Group,1,€ 4.97,2500%, € 1.24 , € 0.43 ,,,,,,,,,,,,,,,,,,
Knocking Up The Nanny 6,Vision Films,All Media Group,1,€ 2.12,2500%, € 0.53 , € 0.19 ,,,,,,,,,,,,,,,,,,
Co-Ed Threesomes,Porn Pros,All Media Group,3,€ 4.37,2500%, € 1.09 , € 0.38 ,,,,,,,,,,,,,,,,,,
The audition 14,Porn Pros,All Media Group,3,€ 13.83,2500%, € 3.46 , € 1.21 ,,,,,,,,,,,,,,,,,,
Perfectly Natural 29,Porn Pros,All Media Group,1,€ 2.49,2500%, € 0.62 , € 0.22 ,,,,,,,,,,,,,,,,,,
My Husband's Best Friend 3,Porn Pros,All Media Group,3,€ 15.97,2500%, € 3.99 , € 1.40 ,,,,,,,,,,,,,,,,,,
Family Always Comes First 7,Porn Pros,All Media Group,6,€ 31.94,2500%, € 7.98 , € 2.79 ,,,,,,,,,,,,,,,,,,
Multi-orgasmic 8,Porn Pros,All Media Group,1,€ 2.49,2500%, € 0.62 , € 0.22 ,,,,,,,,,,,,,,,,,,
Girl Cum 3,Porn Pros,All Media Group,5,€ 13.11,2500%, € 3.28 , € 1.15 ,,,,,,,,,,,,,,,,,,
Tiny Titties 13,Porn Pros,All Media Group,2,€ 13.48,2500%, € 3.37 , € 1.18 ,,,,,,,,,,,,,,,,,,
The Audition Volume 19,Porn Pros,All Media Group,2,€ 13.48,2500%, € 3.37 , € 1.18 ,,,,,,,,,,,,,,,,,,
She's So Small 27,Porn Pros,All Media Group,3,€ 15.60,2500%, € 3.90 , € 1.37 ,,,,,,,,,,,,,,,,,,
The Audition Vol. 18,Porn Pros,All Media Group,4,€ 21.29,2500%, € 5.33 , € 1.87 ,,,,,,,,,,,,,,,,,,
The Audition Volume 16,Porn Pros,All Media Group,1,€ 6.74,2500%, € 1.69 , € 0.59 ,,,,,,,,,,,,,,,,,,
Old Enough for a Creampie 8,Porn Pros,All Media Group,2,€ 7.81,2500%, € 1.96 , € 0.69 ,,,,,,,,,,,,,,,,,,
Seduce Your Dad Type 10,Porn Pros,All Media Group,3,€ 20.22,2500%, € 5.06 , € 1.77 ,,,,,,,,,,,,,,,,,,
"Don't Cum On My Bush, Cum in My Ass V3",Porn Pros,All Media Group,3,€ 14.55,2500%, € 3.64 , € 1.27 ,,,,,,,,,,,,,,,,,,
Exotic and curvy 10,Porn Pros,All Media Group,2,€ 7.81,2500%, € 1.96 , € 0.69 ,,,,,,,,,,,,,,,,,,
Family always comes first 8,Porn Pros,All Media Group,1,€ 6.74,2500%, € 1.69 , € 0.59 ,,,,,,,,,,,,,,,,,,
The Audition Vol.8,Porn Pros,All Media Group,1,€ 7.10,2500%, € 1.77 , € 0.62 ,,,,,,,,,,,,,,,,,,
Brown Sugar Babe Vol. 6,Porn Pros,All Media Group,1,€ 6.74,2500%, € 1.69 , € 0.59 ,,,,,,,,,,,,,,,,,,
Size Does Matter 26,Porn Pros,All Media Group,1,€ 6.74,2500%, € 1.69 , € 0.59 ,,,,,,,,,,,,,,,,,,
Size Does Matter 24,Porn Pros,All Media Group,1,€ 6.74,2500%, € 1.69 , € 0.59 ,,,,,,,,,,,,,,,,,,
Please Cum Inside Me 18,Porn Pros,All Media Group,4,€ 13.11,2500%, € 3.28 , € 1.15 ,,,,,,,,,,,,,,,,,,
Seduce your dad type 8,Porn Pros,All Media Group,1,€ 6.74,2500%, € 1.69 , € 0.59 ,,,,,,,,,,,,,,,,,,
She´s so small 25,Porn Pros,All Media Group,2,€ 13.48,2500%, € 3.37 , € 1.18 ,,,,,,,,,,,,,,,,,,
Old enough for a creampie 5,Porn Pros,All Media Group,2,€ 8.86,2500%, € 2.22 , € 0.78 ,,,,,,,,,,,,,,,,,,
In My Young Tight Ass 6,Porn Pros,All Media Group,2,€ 7.81,2500%, € 1.96 , € 0.69 ,,,,,,,,,,,,,,,,,,
Make Mommy Squirt 2,Porn Pros,All Media Group,1,€ 1.07,2500%, € 0.27 , € 0.09 ,,,,,,,,,,,,,,,,,,
Pure Anal Pleasure 17,Pure Passion,All Media Group,3,€ 6.02,2500%, € 1.51 , € 0.53 ,,,,,,,,,,,,,,,,,,
Fill Me With Your Orgasm 13,Pure Passion,All Media Group,2,€ 9.93,2500%, € 2.48 , € 0.87 ,,,,,,,,,,,,,,,,,,
My Stepmother and I,Pure Passion,All Media Group,2,€ 12.91,2500%, € 3.23 , € 1.13 ,,,,,,,,,,,,,,,,,,
Pure Anal Pleasure 18,Pure Passion,All Media Group,1,€ 6.74,2500%, € 1.69 , € 0.59 ,,,,,,,,,,,,,,,,,,
,,,,,,, € 63.21 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
